,URL,1-5 Linear Scale,Current,1 Month Ago,2 Month Ago,3 Month Ago
0,https://www.reuters.com/finance/stocks/analyst/MSFT.OQ,(1) BUY,18,19,19,19
1,https://www.reuters.com/finance/stocks/analyst/MSFT.OQ,(2) OUTPERFORM,13,12,12,13
2,https://www.reuters.com/finance/stocks/analyst/MSFT.OQ,(3) HOLD,2,1,1,1
3,https://www.reuters.com/finance/stocks/analyst/MSFT.OQ,(4) UNDERPERFORM,0,0,0,0
4,https://www.reuters.com/finance/stocks/analyst/MSFT.OQ,(5) SELL,1,1,1,1
5,https://www.reuters.com/finance/stocks/analyst/MSFT.OQ,No Opinion,0,0,0,0
6,https://www.reuters.com/finance/stocks/analyst/MSFT.OQ,Mean Rating,1.62,1.55,1.55,1.56
7,https://www.reuters.com/finance/stocks/analyst/MET.N,(1) BUY,5,5,4,4
8,https://www.reuters.com/finance/stocks/analyst/MET.N,(2) OUTPERFORM,7,7,6,6
9,https://www.reuters.com/finance/stocks/analyst/MET.N,(3) HOLD,6,6,8,8
10,https://www.reuters.com/finance/stocks/analyst/MET.N,(4) UNDERPERFORM,0,0,0,0
11,https://www.reuters.com/finance/stocks/analyst/MET.N,(5) SELL,1,1,1,1
12,https://www.reuters.com/finance/stocks/analyst/MET.N,No Opinion,0,0,0,0
13,https://www.reuters.com/finance/stocks/analyst/MET.N,Mean Rating,2.21,2.21,2.37,2.37
14,https://www.reuters.com/finance/stocks/analyst/MS.N,(1) BUY,11,11,10,10
15,https://www.reuters.com/finance/stocks/analyst/MS.N,(2) OUTPERFORM,8,8,8,9
16,https://www.reuters.com/finance/stocks/analyst/MS.N,(3) HOLD,8,9,10,9
17,https://www.reuters.com/finance/stocks/analyst/MS.N,(4) UNDERPERFORM,1,0,0,0
18,https://www.reuters.com/finance/stocks/analyst/MS.N,(5) SELL,0,0,0,0
19,https://www.reuters.com/finance/stocks/analyst/MS.N,No Opinion,0,0,0,0
20,https://www.reuters.com/finance/stocks/analyst/MS.N,Mean Rating,1.96,1.93,2.00,1.96
21,https://www.reuters.com/finance/stocks/analyst/FNMA.PK,(1) BUY,0,0,0,0
22,https://www.reuters.com/finance/stocks/analyst/FNMA.PK,(2) OUTPERFORM,0,0,0,0
23,https://www.reuters.com/finance/stocks/analyst/FNMA.PK,(3) HOLD,0,0,0,0
