,name,position,yearjoin,age,ticker
0,John Thompson,Independent Non-Executive Chairman of the Board,2014,69,MSFT
1,Bradford Smith,"President, Chief Legal Officer",2015,59,MSFT
2,Satya Nadella,"Chief Executive Officer, Director",2014,52,MSFT
3,William Gates,"Founder, Technology Advisor, Director",2014,63,MSFT
4,Amy Hood,"Chief Financial Officer, Executive Vice President",2013,46,MSFT
5,Kevin Scott,"Executive Vice President, Chief Technology Officer",2017,,MSFT
6,Christopher Capossela,"Executive Vice President, Marketing and Consumer Business, and Chief Marketing Officer",2016,48,MSFT
7,Kathleen Hogan,Executive Vice President - Human Resources,2014,52,MSFT
8,Jean-Philippe Courtois,"Executive Vice President and President - Microsoft Global Sales, Marketing and Operations",2016,57,MSFT
9,Margaret Johnson,Executive Vice President - Business Development,2014,56,MSFT
10,Reid Hoffman,Independent Director,2017,51,MSFT
11,Hugh Johnston,Independent Director,2017,57,MSFT
12,Teri List-Stoll,Independent Director,2014,55,MSFT
13,Charles Noski,Independent Director,2003,66,MSFT
14,Helmut Panke,Independent Director,2003,72,MSFT
15,Sandra Peterson,Independent Director,2015,60,MSFT
16,Penny Pritzker,Independent Director,2017,58,MSFT
17,Charles Scharf,Independent Director,2014,53,MSFT
18,Arne Sorenson,Independent Director,2017,59,MSFT
19,John Stanton,Independent Director,2014,63,MSFT
20,Padmasree Warrior,Independent Director,2015,58,MSFT
21,Steven Kandarian,"Chairman of the Board, President, Chief Executive Officer",2012,67,MET
22,John McCallion,"Chief Financial Officer, Executive Vice President",2018,44,MET
23,Michel Khalaf,"President, U.S. Business, President, EMEA",2017,54,MET
24,Kishore Ponnavolu,President - Asia Region,2018,,MET
25,Susan Podlogar,"Chief Human Resource Officer, Executive Vice President",2017,54,MET
26,Tamara Schock,"Executive Vice President, Chief Accounting Officer",2019,46,MET
27,Steven Goulart,"Executive Vice President, Chief Investment Officer",2011,59,MET
28,Esther Lee,"Executive Vice President, Global Chief Marketing Officer",2015,59,MET
29,Ramy Tadros,"Executive Vice President, Chief Risk Officer",2017,42,MET
30,Ed Spehar,"Executive Vice President, Treasurer",2018,,MET
31,Martin Lippert,"Executive Vice President, Head - Global Technology and Operations",2011,58,MET
32,Stephen Gauster,"Senior Vice President, Interim General Counsel",2017,47,MET
33,William O'Donnell,Chief Accounting Officer,2018,,MET
34,Randy Clerihue,Chief Communications Officer,2018,,MET
35,Graham Cox,Head of Retirement and Income Solutions,2019,,MET
36,Jennifer Gottlieb,Head - Global Employee Communication,2018,,MET
37,Timothy Ring,Chief Sustainability Officer,2018,,MET
38,Robert Hubbard,Lead Independent Director,2017,59,MET
39,Cheryl Grise,Independent Director,2017,65,MET
40,Carlos Gutierrez,Independent Director,2015,64,MET
41,Gerald Hassell,Independent Director,2018,66,MET
42,David Herzog,Independent Director,2017,58,MET
43,Edward Kelly,Independent Director,2015,65,MET
44,William Kennard,Independent Director,2015,61,MET
45,James Kilts,Independent Director,2005,70,MET
46,Catherine Kinney,Independent Director,2009,66,MET
47,Diana McKenzie,Independent Director,2018,,MET
48,Denise Morrison,Independent Director,2014,64,MET
49,James Gorman,"Chairman of the Board, Chief Executive Officer",2012,59,MS
50,Colm Kelleher,President,2016,60,MS
51,Jonathan Pruzan,"Chief Financial Officer, Executive Vice President",2015,49,MS
52,Jeffrey Brodsky,"Chief Human Resource Officer, Executive Vice President",2016,53,MS
53,Keishi Hotsuki,"Executive Vice President, Chief Risk Officer",2014,55,MS
54,Eric Grossman,"Executive Vice President, Chief Legal Officer",2012,51,MS
55,Daniel Simkowitz,Head of Investment Management,2015,52,MS
56,Thomas Glocer,Lead Independent Director,2017,58,MS
57,Nobuyuki Hirano,Director,2015,67,MS
58,Ryosuke Tamakoshi,Director,2011,71,MS
59,Elizabeth Corley,Independent Director,2018,63,MS
60,Alistair Darling,Independent Director,2016,64,MS
61,Robert Herz,Independent Director,2012,64,MS
62,Judith Miscik,Independent Director,2014,60,MS
63,Dennis Nally,Independent Director,2016,65,MS
64,Hutham Olayan,Independent Director,2006,64,MS
65,Mary Schapiro,Independent Director,2018,63,MS
66,Perry Traquina,Independent Director,2015,61,MS
67,Rayford Wilkins,Independent Director,2013,66,MS
68,Jonathan Plutzik,Chairman of the Board,2018,62,FNMA
69,David Benson,President,2018,57,FNMA
70,Hugh Frater,"Chief Executive Officer, Director",2019,63,FNMA
71,Celeste Brown,"Chief Financial Officer, Executive Vice President",2018,42,FNMA
72,Kimberly Johnson,"Executive Vice President, Chief Risk Officer",2017,44,FNMA
73,Andrew Bon Salle,Executive Vice President - Single-Family Business,2014,51,FNMA
74,Jeffery Hayward,"Executive Vice President ,Head - Multifamily",2014,60,FNMA
75,Joy Cianci,"Senior Vice President for Special Assets & Corporate Facilities, Security and Resiliency",2016,54,FNMA
76,Bruce Lee,Senior Vice President and Head of Operations and Technology,2016,51,FNMA
77,Brian Brooks,Director,2019,49,FNMA
78,Amy Alving,Independent Director,2014,56,FNMA
79,Renee Glover,Independent Director,2016,67,FNMA
80,Michael Heid,Independent Director,2016,60,FNMA
81,Robert Herz,Independent Director,2011,64,FNMA
82,Antony Jenkins,Independent Director,2018,57,FNMA
