,0,1,2,3,4,5,6
0,https://www.reuters.com/finance/stocks/financial-highlights/GM,Quarter Ending Mar-19,7,"35,027.70","35,624.00","33,820.00","36,039.00"
1,https://www.reuters.com/finance/stocks/financial-highlights/GM,Quarter Ending Jun-19,7,"36,278.20","38,453.00","35,169.80","37,483.00"
2,https://www.reuters.com/finance/stocks/financial-highlights/GM,Year Ending Dec-19,10,"146,737.00","151,501.00","145,122.00","144,919.00"
3,https://www.reuters.com/finance/stocks/financial-highlights/GM,Year Ending Dec-20,10,"145,749.00","156,085.00","138,846.00","140,949.00"
4,https://www.reuters.com/finance/stocks/financial-highlights/GM,Quarter Ending Mar-19,14,1.10,1.48,0.90,1.35
5,https://www.reuters.com/finance/stocks/financial-highlights/GM,Quarter Ending Jun-19,14,1.70,2.03,1.40,2.07
6,https://www.reuters.com/finance/stocks/financial-highlights/GM,Year Ending Dec-19,20,6.54,7.00,5.93,6.33
7,https://www.reuters.com/finance/stocks/financial-highlights/GM,Year Ending Dec-20,20,6.33,7.35,4.47,6.11
8,https://www.reuters.com/finance/stocks/financial-highlights/GM,LT Growth Rate (%),2,15.35,15.70,15.00,14.55
9,https://www.reuters.com/finance/stocks/financial-highlights/PROC.NS,Quarter Ending Sep-19,1,"9,064.00","9,064.00","9,064.00",--
10,https://www.reuters.com/finance/stocks/financial-highlights/PROC.NS,Quarter Ending Dec-19,1,"9,282.00","9,282.00","9,282.00",--
11,https://www.reuters.com/finance/stocks/financial-highlights/PROC.NS,Year Ending Jun-19,3,"27,804.40","28,623.00","26,517.10","30,395.00"
12,https://www.reuters.com/finance/stocks/financial-highlights/PROC.NS,Year Ending Jun-20,3,"31,312.40","33,200.00","28,373.30","35,070.00"
13,https://www.reuters.com/finance/stocks/financial-highlights/PROC.NS,Quarter Ending Sep-19,1,54.54,54.54,54.54,--
14,https://www.reuters.com/finance/stocks/financial-highlights/PROC.NS,Quarter Ending Dec-19,1,58.18,58.18,58.18,--
15,https://www.reuters.com/finance/stocks/financial-highlights/PROC.NS,Year Ending Jun-19,3,134.75,146.35,123.49,164.81
16,https://www.reuters.com/finance/stocks/financial-highlights/PROC.NS,Year Ending Jun-20,3,161.33,182.75,134.23,200.80
